label,lat,long
174,13.18058,123.6552
175,13.1786,123.6735
176,13.17834,123.6731
177,13.18605,123.6572
178,13.18463,123.6573
179,13.18381,123.6692
180,13.18427,123.6571
181,13.19336,123.6513
182,13.18408,123.6688
183,13.18514,123.6575
184,13.19482,123.6445
185,13.19815,123.6383
186,13.18432,123.6684
187,13.192,123.6543
188,13.18071,123.6679
189,13.18299,123.654
190,13.18413,123.656
191,13.18233,123.6684
192,13.18903,123.6573
193,13.18624,123.6567
194,13.18392,123.6564
195,13.19637,123.6399
196,13.18089,123.6745
197,13.18175,123.6545
198,13.18366,123.6694
199,13.18246,123.6682
200,13.18787,123.6632
201,13.18639,123.6654
202,13.18737,123.6631
203,13.18566,123.6666
204,13.18589,123.6378
205,13.18379,123.6703
206,13.18539,123.6717
207,13.18974,123.6744
208,13.1909,123.6744
209,13.19157,123.6744
210,13.18269,123.67
211,13.18687,123.6657
212,13.18843,123.6672
213,13.18844,123.6689
214,13.14141,123.6525
215,13.14474,123.6657
216,13.14005,123.6675
217,13.14368,123.6664
218,13.15315,123.6577
219,13.16232,123.6625
220,13.14689,123.6652
221,13.15235,123.6692
222,13.15464,123.6421
223,13.15571,123.64
224,13.15575,123.6397
225,13.15625,123.6391
226,13.15683,123.64
227,13.15701,123.6396
228,13.11024,123.584
229,13.12665,123.5997
230,13.1272,123.6005
231,13.12846,123.5996
232,13.1417,123.6113
233,13.14218,123.6128
234,13.13116,123.6372
235,13.13119,123.6373
236,13.13124,123.6376
237,13.13125,123.6381
238,13.13129,123.6378
239,13.13134,123.638
240,13.13142,123.6384
241,13.13157,123.638
242,13.13176,123.6371
243,13.13178,123.6379
244,13.13184,123.6374
245,13.13188,123.6384
246,13.1319,123.6376
247,13.13198,123.6378
248,13.13209,123.6383
249,13.13218,123.6377
250,13.13229,123.6382
251,13.1324,123.6377
252,13.13243,123.6369
253,13.13246,123.6372
254,13.13248,123.6374
255,13.13249,123.6376
256,13.1325,123.6382
257,13.13263,123.6377
258,13.13267,123.6379
259,13.13293,123.6377
260,13.13297,123.6375
261,13.133,123.6373
262,13.13314,123.6378
263,13.13321,123.6373
264,13.13332,123.638
265,13.13336,123.6378
266,13.13342,123.6373
267,13.13344,123.6372
268,13.13357,123.6378
269,13.13367,123.6373
270,13.13373,123.6381
271,13.13378,123.6379
272,13.1339,123.6373
273,13.13396,123.6381
274,13.134,123.6379
275,13.13403,123.6388
276,13.13412,123.6374
277,13.13416,123.6384
278,13.13417,123.6382
279,13.13423,123.638
280,13.13426,123.6387
281,13.13428,123.6377
282,13.13432,123.6375
283,13.13457,123.6375
284,13.13493,123.6386
285,13.13495,123.6381
286,13.13497,123.638
287,13.13499,123.6378
288,13.13502,123.6376
289,13.13507,123.6374
290,13.13508,123.6382
291,13.13527,123.6385
292,13.13554,123.6376
293,13.13562,123.6391
294,13.1357,123.6391
295,13.13581,123.6374
296,13.13608,123.6392
297,13.13991,123.6381
298,13.11867,123.6215
299,13.11891,123.6215
300,13.0965,123.615
301,13.09838,123.6177
302,13.18018,123.6561
303,13.18087,123.6579
304,13.17866,123.6539
305,13.17902,123.6543
306,13.1794,123.6547
307,13.17971,123.6551
308,13.18042,123.6559
309,13.17908,123.6534
310,13.17947,123.6539
311,13.17967,123.6559
312,13.18015,123.6547
313,13.17926,123.6554
314,13.17895,123.6551
315,13.18576,123.6579
316,13.1871,123.6585
317,13.1874,123.6577
318,13.18761,123.6577
319,13.18315,123.6576
320,13.1812,123.6583
321,13.18412,123.657
322,13.18199,123.6548
323,13.18204,123.6689
324,13.18277,123.6679
325,13.18315,123.6674
326,13.18504,123.6685
327,13.18636,123.6693
328,13.18012,123.6556
329,13.18008,123.6555
330,13.18077,123.6556
331,13.18152,123.6563
332,13.18208,123.6563
333,13.1822,123.656
334,13.18079,123.6564
335,13.1835,123.6551
336,13.18265,123.6563
337,13.15564,123.6286
338,13.15578,123.6279
339,13.15583,123.6287
340,13.15587,123.6297
341,13.15598,123.628
342,13.15603,123.6288
343,13.15606,123.6298
344,13.15616,123.6282
345,13.15622,123.6289
346,13.15625,123.6289
347,13.15633,123.628
348,13.15636,123.6283
349,13.1564,123.629
350,13.15641,123.6272
351,13.15653,123.6282
352,13.15653,123.6284
353,13.15664,123.6271
354,13.15669,123.6285
355,13.15681,123.6293
356,13.15691,123.6287
357,13.157,123.6294
358,13.15718,123.6295
359,13.1572,123.6286
360,13.15735,123.6296
361,13.15739,123.6287
362,13.15757,123.6288
363,13.1577,123.6295
364,13.15775,123.6289
365,13.15781,123.6293
366,13.15801,123.6294
367,13.15803,123.6306
368,13.15819,123.6294
369,13.15828,123.63
370,13.15837,123.6297
371,13.15845,123.6296
372,13.15868,123.629
373,13.15876,123.6292
374,13.15883,123.6287
375,13.15883,123.6294
376,13.15896,123.6297
377,13.15927,123.6298
378,13.15968,123.6303
379,13.14825,123.6156
380,13.17778,123.6555
381,13.17783,123.6548
382,13.17801,123.6564
383,13.17984,123.6543
384,13.15675,123.6402
385,13.18946,123.6776
386,13.18951,123.6765
387,13.18914,123.6678
388,13.19473,123.6449
389,13.17613,123.6579
390,13.18465,123.628
391,13.11651,123.6648
392,13.14602,123.6156
393,13.17999,123.659
394,13.17936,123.6619
395,13.1791,123.6608
396,13.14211,123.6571
397,13.13787,123.6567
398,13.14014,123.6573
399,13.15657,123.6489
400,13.14905,123.6557
401,13.1824,123.6555
402,13.18802,123.6618
403,13.14011,123.6103
404,13.20145,123.6493
405,13.20253,123.6509
406,13.16534,123.6272
407,13.16617,123.6271
408,13.17944,123.6376
409,13.18747,123.6626
410,13.19343,123.6779
411,13.19043,123.6791
412,13.20346,123.6766
413,13.2096,123.653
414,13.1919,123.6545
415,13.19259,123.6589
416,13.19232,123.6551
417,13.19351,123.6549
418,13.17777,123.6539
419,13.17754,123.654
420,13.17783,123.6577
421,13.18558,123.6534
422,13.15772,123.6289
423,13.15838,123.6288
424,13.162,123.6326
425,13.14244,123.6267
426,13.15191,123.6328
427,13.10502,123.6668
428,13.10443,123.6661
